tracker,frame_index,frame_path,n_pred_tracks,n_gt_objects,id_switches,lost_tracks,false_positives,false_negatives,error_score
BoT-SORT,0,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000000_frame100_jpg.rf.d10094f35d95958eb6f4d0a95ca1598b.jpg,20,20,0,0,3,3,6
BoT-SORT,1,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000001_frame109_jpg.rf.22e5a37a9ae6c6afb6bee83da98d8a8a.jpg,4,15,0,2,0,11,13
BoT-SORT,2,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000002_frame118_jpg.rf.066c382419c584b6cbf08b3f2577edc2.jpg,5,11,0,0,0,6,6
BoT-SORT,3,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000003_frame128_jpg.rf.44ebb4e9f6614ed065183a2bdbf968df.jpg,2,10,0,0,1,9,10
BoT-SORT,4,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000004_frame136_jpg.rf.bc273c3e89cec4eb0c2c95717b5dbfb2.jpg,3,9,0,0,1,7,8
BoT-SORT,5,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000005_frame149_jpg.rf.4193678579eaea1de139f47a120cef4f.jpg,5,13,0,0,1,9,10
BoT-SORT,6,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000006_frame154_jpg.rf.51d4261b4ae6adcf445cca730c2a0b81.jpg,6,12,0,0,1,7,8
BoT-SORT,7,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000007_frame166_jpg.rf.2ee8b3d7cd1d07015517a963cec76cd6.jpg,5,14,0,0,1,10,11
ByteTrack,0,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000000_frame100_jpg.rf.d10094f35d95958eb6f4d0a95ca1598b.jpg,20,20,0,0,3,3,6
ByteTrack,1,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000001_frame109_jpg.rf.22e5a37a9ae6c6afb6bee83da98d8a8a.jpg,4,15,0,1,0,11,12
ByteTrack,2,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000002_frame118_jpg.rf.066c382419c584b6cbf08b3f2577edc2.jpg,4,11,0,0,0,7,7
ByteTrack,3,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000003_frame128_jpg.rf.44ebb4e9f6614ed065183a2bdbf968df.jpg,0,10,0,0,0,10,10
ByteTrack,4,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000004_frame136_jpg.rf.bc273c3e89cec4eb0c2c95717b5dbfb2.jpg,1,9,0,0,0,8,8
ByteTrack,5,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000005_frame149_jpg.rf.4193678579eaea1de139f47a120cef4f.jpg,1,13,0,0,0,12,12
ByteTrack,6,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000006_frame154_jpg.rf.51d4261b4ae6adcf445cca730c2a0b81.jpg,3,12,0,0,1,10,11
ByteTrack,7,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000007_frame166_jpg.rf.2ee8b3d7cd1d07015517a963cec76cd6.jpg,5,14,0,0,1,10,11
RF-DETR+SORT,0,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000000_frame100_jpg.rf.d10094f35d95958eb6f4d0a95ca1598b.jpg,26,20,0,0,7,1,8
RF-DETR+SORT,1,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000001_frame109_jpg.rf.22e5a37a9ae6c6afb6bee83da98d8a8a.jpg,21,15,0,0,6,0,6
RF-DETR+SORT,2,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000002_frame118_jpg.rf.066c382419c584b6cbf08b3f2577edc2.jpg,5,11,0,0,3,9,12
RF-DETR+SORT,3,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000003_frame128_jpg.rf.44ebb4e9f6614ed065183a2bdbf968df.jpg,0,10,0,0,0,10,10
RF-DETR+SORT,4,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000004_frame136_jpg.rf.bc273c3e89cec4eb0c2c95717b5dbfb2.jpg,5,9,0,0,2,6,8
RF-DETR+SORT,5,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000005_frame149_jpg.rf.4193678579eaea1de139f47a120cef4f.jpg,2,13,0,0,0,11,11
RF-DETR+SORT,6,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000006_frame154_jpg.rf.51d4261b4ae6adcf445cca730c2a0b81.jpg,11,12,0,0,5,6,11
RF-DETR+SORT,7,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000007_frame166_jpg.rf.2ee8b3d7cd1d07015517a963cec76cd6.jpg,5,14,0,0,3,12,15
SORT,0,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000000_frame100_jpg.rf.d10094f35d95958eb6f4d0a95ca1598b.jpg,20,20,0,0,3,3,6
SORT,1,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000001_frame109_jpg.rf.22e5a37a9ae6c6afb6bee83da98d8a8a.jpg,15,15,0,1,2,2,5
SORT,2,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000002_frame118_jpg.rf.066c382419c584b6cbf08b3f2577edc2.jpg,3,11,0,0,0,8,8
SORT,3,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000003_frame128_jpg.rf.44ebb4e9f6614ed065183a2bdbf968df.jpg,0,10,0,0,0,10,10
SORT,4,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000004_frame136_jpg.rf.bc273c3e89cec4eb0c2c95717b5dbfb2.jpg,2,9,0,0,1,8,9
SORT,5,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000005_frame149_jpg.rf.4193678579eaea1de139f47a120cef4f.jpg,1,13,0,0,1,13,14
SORT,6,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000006_frame154_jpg.rf.51d4261b4ae6adcf445cca730c2a0b81.jpg,5,12,0,0,2,9,11
SORT,7,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000007_frame166_jpg.rf.2ee8b3d7cd1d07015517a963cec76cd6.jpg,2,14,0,0,1,13,14
SimpleIoU,0,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000000_frame100_jpg.rf.d10094f35d95958eb6f4d0a95ca1598b.jpg,20,20,0,0,3,3,6
SimpleIoU,1,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000001_frame109_jpg.rf.22e5a37a9ae6c6afb6bee83da98d8a8a.jpg,15,15,0,1,2,2,5
SimpleIoU,2,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000002_frame118_jpg.rf.066c382419c584b6cbf08b3f2577edc2.jpg,11,11,0,0,2,2,4
SimpleIoU,3,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000003_frame128_jpg.rf.44ebb4e9f6614ed065183a2bdbf968df.jpg,9,10,0,0,3,4,7
SimpleIoU,4,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000004_frame136_jpg.rf.bc273c3e89cec4eb0c2c95717b5dbfb2.jpg,8,9,0,0,1,2,3
SimpleIoU,5,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000005_frame149_jpg.rf.4193678579eaea1de139f47a120cef4f.jpg,13,13,0,0,3,3,6
SimpleIoU,6,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000006_frame154_jpg.rf.51d4261b4ae6adcf445cca730c2a0b81.jpg,15,12,0,0,4,1,5
SimpleIoU,7,/kaggle/working/bd_traffic_assignment/yolo_dataset_augmented/test/images/000007_frame166_jpg.rf.2ee8b3d7cd1d07015517a963cec76cd6.jpg,18,14,0,0,5,1,6
